Brand,ScreenSize,Resolution,DeviceType,PowerSupply,AudioOutput,SpeakerSystem,HDMI,USB,Smart TV,Resolutionupscaler,Price
Xiaomi Mi,98,3840x2160,QLED,220,16,2.0Channel,2,2,2,4KUHD,290000
Xiaomi Mi,82,4320x2160,QLED,220,30,4.2Channel,3,2,2,4KUHD,221000
Xiaomi Mi,75,3840x2160,OLED,240,30,2.2Channel,3,2,2,4KUHD,185000
Xiaomi Mi,75,3840x2160,OLED,240,30,2.0Channel,3,2,2,4KUHD,179900
Xiaomi Mi,55,3840x2160,OLED,240,30,2.0Channel,3,2,2,4KUHD,99000
Xiaomi Mi,65,3840x2160,OLED,240,20,2.0Channel,3,3,2,4K,96800
Xiaomi Mi,65,3840x2160,UHD,240,20,2.0Channel,3,3,2,4K,92400
Xiaomi Mi,55,3840x2160,UHD,240,20,2.0Channel,3,2,2,4KUHD,69300
Xiaomi Mi,55,3840x2160,UHD,240,20,2.0Channel,3,3,2,4K,67300
Xiaomi Mi,50,3840x2160,UHD,240,20,2.0Channel,3,2,2,4K,61600
Xiaomi Mi,55,3840x2160,UHD,240,20,2.0Channel,3,2,2,4K,61100
Xiaomi Mi,55,3840x2160,LED,240,20,2.0Channel,3,2,2,4K,59200
Xiaomi Mi,65,3840x2160,LED,240,20,2.0Channel,3,2,2,4K,58300
Xiaomi Mi,55,3840x2160,LED,240,16,2.0Channel,3,2,2,4K,57999
Xiaomi Mi,55,3840x2160,LED,240,20,2.0Channel,3,2,2,4K,56300
Xiaomi Mi,55,3840x2160,LED,240,20,2.0Channel,3,2,2,4K,50100
Xiaomi Mi,55,3840x2160,LED,240,16,2.0Channel,3,2,2,4K,50000
Xiaomi Mi,65,3840x2160,LED,240,16,2.0Channel,3,2,2,4K,47800
Xiaomi Mi,43,3840x2160,LED,240,20,2.0Channel,3,2,2,4K,46200
Xiaomi Mi,43,3840x2160,LED,240,16,2.0Channel,3,2,2,4K,46100
Xiaomi Mi,43,3840x2160,LED,220,20,2.0Channel,3,3,2,4K,43000
Xiaomi Mi,50,3840x2160,LED,240,20,2.0Channel,3,2,2,4K,42500
Xiaomi Mi,43,3840x2160,LED,240,20,2.0Channel,3,2,2,4K,42000
Xiaomi Mi,43,3840x2160,LED,240,16,2.0Channel,3,2,2,4K,41250
Xiaomi Mi,43,1920x1080,LED,200,20,2.0Channel,3,2,2,FHD,40490
Xiaomi Mi,43,3840x2160,LED,240,20,2.0Channel,3,2,2,FHD,38599
Xiaomi Mi,43,3840x2160,LED,240,20,2.0Channel,3,2,2,FHD,38000
Xiaomi Mi,43,1920x1080,LED,240,20,2.0Channel,3,3,2,FHD,35700
Xiaomi Mi,40,1920x1080,LED,240,10,2.0Channel,3,2,2,HD,35500
Xiaomi Mi,43,1920x1080,LCD,240,20,2.0Channel,3,3,2,HD,32000
Xiaomi Mi,43,3840x2160,LCD,240,20,2.0Channel,3,2,2,4K,30000
Xiaomi Mi,32,1366x768,LCD,240,10,2.0Channel,3,2,2,HD,26950
Xiaomi Mi,32,1366x768,LCD,240,10,2.0Channel,3,2,2,HD,25850
Xiaomi Mi,32,1366x768,LCD,240,10,2.0Channel,3,2,2,HD,20990
Xiaomi Mi,40,1920x1080,LCD,240,20,2.0Channel,3,2,1,HD,20500
Xiaomi Mi,32,1366x768,LCD,240,20,2.0Channel,3,2,1,HD,20000
Xiaomi Mi,32,1366x768,FHD,240,20,2.0Channel,3,2,1,HD,19500
Xiaomi Mi,32,1366x768,FHD,240,20,2.0Channel,3,2,1,HD,19000
Xiaomi Mi,32,1366x768,FHD,240,20,2.0Channel,3,2,1,HD,18700
Xiaomi Mi,32,1366x768,FHD,240,20,2.0Channel,3,2,1,HD,12000
Walton,55,3840x2160,LED,240,10,2.0Channel,3,2,2,4K,95900
Walton,55,3840x2160,LED,240,10,2.0Channel,3,2,2,4K,94900
Walton,43,3840x2160,LED,240,8,2.0Channel,3,2,2,4K,51900
Walton,43,1920x1080,LED,240,8,2.0Channel,3,2,2,4K,48900
Walton,43,3840x2160,LED,240,8,2.0Channel,3,2,2,4K,45900
Walton,43,1920x1080,LED,240,8,2.0Channel,3,2,2,HD,43500
Walton,43,1920x1080,LED,240,8,2.0Channel,3,2,2,HD,42900
Walton,43,1920x1080,LED,240,8,2.0Channel,3,2,1,HD,38990
Walton,43,1920x1080,FHD,240,8,2.0Channel,2,2,1,HD,35900
Walton,40,1920x1080,LED,240,10,2.0Channel,3,2,1,HD,34900
Walton,43,1920x1080,FHD,240,10,2.0Channel,2,2,1,HD,34400
Walton,40,1920x1080,FHD,240,10,2.0Channel,2,2,1,HD,32500
Walton,32,1366x768,LED,240,8,2.0Channel,3,2,1,HD,29900
Walton,32,1366x768,LED,240,8,2.0Channel,3,2,1,HD,29500
Walton,32,1366x768,LED,240,8,2.0Channel,3,2,1,HD,28900
Walton,32,1920x1080,LED,240,8,2.0Channel,3,2,1,HD,27900
Walton,32,1366x768,LED,240,8,2.0Channel,3,2,1,HD,26900
Walton,32,1366x768,LED,240,8,2.0Channel,2,2,0,HD,22800
Walton,32,1366x768,LED,240,8,2.0Channel,2,2,0,HD,22500
Walton,32,1366x768,LED,240,10,2.0Channel,2,2,0,HD,22500
Walton,32,1366x768,LED,240,8,2.0Channel,2,2,0,HD,22500
Walton,32,1366x768,LED,240,8,2.0Channel,2,2,0,HD,22500
Walton,32,1366x768,LED,240,8,2.0Channel,2,2,0,HD,20500
Walton,32,1366x768,LED,240,8,2.0Channel,2,2,0,HD,20500
Walton,24,1366x768,LCD,240,10,2.0Channel,1,1,0,HD,15700
Walton,24,1366x768,LCD,240,10,2.0Channel,1,1,0,HD,15300
Walton,24,1366x768,LCD,240,10,2.0Channel,1,1,0,HD,15200
Walton,24,1366x768,LCD,240,10,2.0Channel,1,1,0,HD,14900
Walton,24,1366x768,LCD,240,10,2.0Channel,1,1,0,HD,13990
Walton,24,1366x768,LCD,240,10,2.0Channel,1,1,0,HD,13900
Vision,65,3840x2160,LED,240,10,2.2Channel,3,2,2,4K,92500
Vision,55,3840x2160,LED,240,10,2.0Channel,3,2,2,4K,79900
Vision,50,3840x2160,LED,240,10,2.0Channel,3,2,2,4K,69900
Vision,43,3840x2160,LED,240,10,2.0Channel,3,2,2,4K,53090
Vision,43,3840x2160,LED,240,10,2.0Channel,3,2,2,4K,49900
Vision,43,3840x2160,LED,240,10,2.0Channel,3,2,2,4K,49900
Vision,39,3840x2160,LED,240,10,2.0Channel,3,2,1,4K,39900
Vision,39,3840x2160,LED,240,10,2.0Channel,3,2,2,4K,39900
Vision,39,1366x768,LED,240,10,2.0Channel,3,2,1,HD,39000
Vision,32,1366x768,LED,240,10,2.0Channel,3,2,1,HD,27500
Vision,32,1366x768,LED,240,10,2.0Channel,3,2,1,HD,27500
Vision,32,1366x768,LED,240,10,2.0Channel,2,2,0,HD,23000
Vision,32,1366x768,LED,240,10,2.0Channel,2,1,1,HD,23000
Vision,32,1366x768,LED,240,8,2.0Channel,3,2,0,HD,21900
Vision,32,1366x768,LED,240,10,2.0Channel,2,1,0,HD,21000
Vision,24,1366x768,LED,240,10,2.0Channel,2,2,0,HD,14900
Vision,24,1366x768,LED,240,5,2.0Channel,2,2,0,HD,14400
Vision,24,1366x768,LED,240,10,Integrated,2,2,0,HD,14400
Vision,24,1366x768,LED,240,10,Integrated,2,2,0,HD,14400
Vision,24,1366x768,LED,240,8,Integrated,2,2,0,HD,14400
Sony,85,3840x2160,QLED,240,10,4.2Channel,4,3,2,4KUHD,320000
Sony,85,3840x2160,OLED,240,60,4.2Channel,4,2,2,4KUHD,300000
Sony,85,3840x2160,UHD,240,20,4.0Channel,4,2,2,4KUHD,290000
Sony,85,3840x2160,LED,240,20,4.0Channel,4,2,2,4KUHD,280000
Sony,85,3840x2160,LED,240,60,4.0Channel,3,4,2,4KHDR,275000
Sony,75,3840x2160,QLED,240,20,2.0Channel,2,2,2,4KUHD,274000
Sony,75,3840x2160,OLED,240,78,2.2Channel,4,2,2,4KUHD,270000
